PLAYER_ID,PLAYER_NAME,PHONE_NUMBER,EMAIL,PREFERRED_INSTRUMENT_ID
1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1
2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2
3,Mickey Mouse,555-100-1003,mickey.mouse@toonmail.com,3
4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4
5,SpongeBob SquarePants,555-100-1005,spongebob@toonmail.com,1
6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4
7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3
8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2
9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1
10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4
11,Dexter,555-100-1011,dexter@toonmail.com,1
12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3
13,Finn the Human,555-100-1013,finn@toonmail.com,2
14,Jake the Dog,555-100-1014,jake@toonmail.com,4
15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1
16,Homer Simpson,555-100-1016,homer.simpson@toonmail.com,3
17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4
18,George Jetson,555-100-1018,george.jetson@toonmail.com,2
19,Popeye,555-100-1019,popeye@toonmail.com,1
20,Garfield,555-100-1020,garfield@toonmail.com,3
