PERFORMANCE_PLAYER_ID,PERFORMANCE_ID,PERFORMANCE_DATETIME,SCORE,RATING,PLAYER_ID,PLAYER_NAME,PHONE_NUMBER,EMAIL,PREFERRED_INSTRUMENT_ID,INSTRUMENT_ID,INSTRUMENT_NAME,SONG_ID,SONG_NAME,ARTIST,RELEASE_YEAR,SONG_DIFFICULTY_RATING,SONG_FUN_RATING
1,1,2026-02-04 00:00:00.000,16517,6.7,11,Dexter,555-100-1011,dexter@toonmail.com,1,1,Electric Guitar,11,Dream On,Aerosmith,1973,7.0,8.6
2,1,2026-02-04 00:00:00.000,16517,6.7,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,4,Drums,11,Dream On,Aerosmith,1973,7.0,8.6
3,1,2026-02-04 00:00:00.000,16517,6.7,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,2,Bass Guitar,11,Dream On,Aerosmith,1973,7.0,8.6
4,1,2026-02-04 00:00:00.000,16517,6.7,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,3,Vocals,11,Dream On,Aerosmith,1973,7.0,8.6
5,2,2026-02-05 00:00:00.000,46750,4.6,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,1,Electric Guitar,3,Hotel California,Eagles,1977,7.8,8.5
6,2,2026-02-05 00:00:00.000,46750,4.6,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,4,Drums,3,Hotel California,Eagles,1977,7.8,8.5
7,2,2026-02-05 00:00:00.000,46750,4.6,13,Finn the Human,555-100-1013,finn@toonmail.com,2,2,Bass Guitar,3,Hotel California,Eagles,1977,7.8,8.5
8,2,2026-02-05 00:00:00.000,46750,4.6,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,3,Vocals,3,Hotel California,Eagles,1977,7.8,8.5
9,3,2026-01-13 00:00:00.000,51119,8.0,20,Garfield,555-100-1020,garfield@toonmail.com,3,1,Electric Guitar,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
10,3,2026-01-13 00:00:00.000,51119,8.0,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,4,Drums,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
11,3,2026-01-13 00:00:00.000,51119,8.0,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,2,Bass Guitar,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
12,3,2026-01-13 00:00:00.000,51119,8.0,20,Garfield,555-100-1020,garfield@toonmail.com,3,3,Vocals,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
13,4,2025-12-20 00:00:00.000,28606,4.4,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,1,Electric Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
14,4,2025-12-20 00:00:00.000,28606,4.4,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,4,Drums,12,Thunderstruck,AC/DC,1990,8.0,9.5
15,4,2025-12-20 00:00:00.000,28606,4.4,20,Garfield,555-100-1020,garfield@toonmail.com,3,2,Bass Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
16,4,2025-12-20 00:00:00.000,28606,4.4,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,3,Vocals,12,Thunderstruck,AC/DC,1990,8.0,9.5
